epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.083,2.32476,2.12946,1.47925,0.6372,0.35335,0.38987,0.1803,1.81074,1.27502,1.21551,0.00332919,0.00332919,0.00332919
2,326.347,1.8101,1.2624,1.1563,0.71547,0.39955,0.44755,0.21597,1.69952,1.02649,1.11453,0.00653061,0.00653061,0.00653061
3,480.599,1.73528,1.10335,1.09616,0.72715,0.42937,0.49313,0.25215,1.60733,0.93039,1.07676,0.00960002,0.00960002,0.00960002
4,636.214,1.69033,1.022,1.06833,0.76198,0.46687,0.53113,0.26976,1.58789,0.87205,1.05879,0.009406,0.009406,0.009406
5,791.072,1.62862,0.94891,1.04794,0.77819,0.47078,0.53874,0.27719,1.54048,0.85159,1.04889,0.009208,0.009208,0.009208
6,946.992,1.60138,0.90827,1.03279,0.77512,0.49404,0.56058,0.28972,1.51143,0.79531,1.03688,0.00901,0.00901,0.00901
7,1104.69,1.57308,0.88364,1.03062,0.78781,0.48842,0.56285,0.29468,1.49635,0.79166,1.03617,0.008812,0.008812,0.008812
8,1258.73,1.55613,0.86537,1.02661,0.8026,0.5052,0.5801,0.30532,1.47102,0.76597,1.01963,0.008614,0.008614,0.008614
9,1415.54,1.54946,0.85148,1.01893,0.79696,0.51143,0.58475,0.30761,1.48165,0.75428,1.02288,0.008416,0.008416,0.008416
10,1573.87,1.53713,0.83861,1.015,0.80496,0.52063,0.59236,0.31185,1.46147,0.74936,1.01757,0.008218,0.008218,0.008218
11,1731.04,1.51945,0.82733,1.01533,0.81177,0.51519,0.59109,0.31116,1.46092,0.73961,1.01367,0.00802,0.00802,0.00802
12,1886.22,1.50638,0.8143,1.01058,0.81086,0.52053,0.5975,0.31712,1.44004,0.73392,1.01071,0.007822,0.007822,0.007822
13,2043.74,1.50163,0.8083,1.00502,0.8106,0.52101,0.59597,0.31651,1.45224,0.71935,1.01381,0.007624,0.007624,0.007624
14,2201.29,1.50047,0.80277,1.00393,0.81673,0.52476,0.60356,0.31956,1.44869,0.71743,1.01386,0.007426,0.007426,0.007426
15,2357.56,1.50015,0.80288,1.00241,0.81207,0.53328,0.6064,0.32015,1.44727,0.71441,1.01021,0.007228,0.007228,0.007228
16,2515.24,1.48797,0.79054,0.99813,0.81679,0.53711,0.61366,0.32751,1.42294,0.70589,1.00314,0.00703,0.00703,0.00703
17,2671.89,1.48065,0.78293,0.99939,0.81696,0.53289,0.61086,0.32575,1.42239,0.69682,0.99967,0.006832,0.006832,0.006832
18,2830,1.4801,0.7779,0.99598,0.81791,0.53527,0.61573,0.33195,1.41834,0.7003,1.00217,0.006634,0.006634,0.006634
19,2986.32,1.47422,0.77572,0.9937,0.82195,0.542,0.61966,0.33222,1.41549,0.68754,0.99866,0.006436,0.006436,0.006436
20,3142.24,1.47746,0.77481,0.99348,0.81793,0.54422,0.61976,0.33169,1.41542,0.68712,1.00002,0.006238,0.006238,0.006238
21,3296.86,1.46297,0.76638,0.99227,0.82556,0.54132,0.6218,0.33415,1.408,0.6801,0.99556,0.00604,0.00604,0.00604
22,3452.15,1.45805,0.76028,0.99135,0.82955,0.54253,0.62243,0.33334,1.41301,0.67749,0.9985,0.005842,0.005842,0.005842
23,3609.68,1.45792,0.75662,0.99035,0.82624,0.54475,0.62475,0.33527,1.40356,0.67116,0.99444,0.005644,0.005644,0.005644
24,3768.57,1.46681,0.75841,0.98843,0.82296,0.54492,0.62319,0.33341,1.40852,0.67223,0.99552,0.005446,0.005446,0.005446
25,3927.52,1.45358,0.75208,0.98506,0.82992,0.55123,0.63136,0.33909,1.39979,0.6652,0.99268,0.005248,0.005248,0.005248
26,4084.11,1.44615,0.74413,0.98609,0.82906,0.55012,0.62967,0.33894,1.39903,0.66121,0.99303,0.00505,0.00505,0.00505
27,4243.41,1.45057,0.74612,0.98437,0.83143,0.55186,0.63048,0.33916,1.39884,0.66255,0.99434,0.004852,0.004852,0.004852
28,4405.29,1.43411,0.73492,0.98117,0.83026,0.55219,0.63381,0.34154,1.39114,0.65834,0.99221,0.004654,0.004654,0.004654
29,4567.76,1.43726,0.73368,0.98159,0.83426,0.55335,0.63518,0.34246,1.3907,0.65395,0.9908,0.004456,0.004456,0.004456
30,4725.82,1.43021,0.72984,0.98169,0.83147,0.55574,0.63598,0.34312,1.38726,0.65095,0.9887,0.004258,0.004258,0.004258
31,4885.77,1.43007,0.72973,0.97818,0.82686,0.55849,0.63729,0.34187,1.39059,0.65281,0.9893,0.00406,0.00406,0.00406
32,5048.05,1.41501,0.71636,0.97761,0.83093,0.56053,0.63989,0.34571,1.38541,0.64654,0.9903,0.003862,0.003862,0.003862
33,5203.94,1.40987,0.71325,0.97656,0.83395,0.56028,0.64104,0.3472,1.38141,0.64279,0.98835,0.003664,0.003664,0.003664
34,5367.73,1.42091,0.71809,0.97812,0.82822,0.56197,0.6405,0.34694,1.38162,0.64303,0.98624,0.003466,0.003466,0.003466
35,5529.07,1.40538,0.71195,0.97495,0.83509,0.56008,0.64082,0.34637,1.38264,0.64272,0.98779,0.003268,0.003268,0.003268
36,5687.95,1.40853,0.71233,0.9729,0.8328,0.5618,0.6421,0.34721,1.38267,0.64088,0.98804,0.00307,0.00307,0.00307
37,5847.43,1.40802,0.70647,0.97207,0.83208,0.56325,0.6435,0.34887,1.37938,0.63722,0.98567,0.002872,0.002872,0.002872
38,6007.53,1.40763,0.70452,0.96892,0.8367,0.56228,0.64397,0.34862,1.37921,0.63459,0.98606,0.002674,0.002674,0.002674
39,6166.33,1.39653,0.69764,0.97021,0.83167,0.56563,0.64515,0.34852,1.38184,0.63513,0.98621,0.002476,0.002476,0.002476
40,6322.87,1.39527,0.69569,0.9679,0.83743,0.56499,0.64648,0.34904,1.38159,0.63306,0.98513,0.002278,0.002278,0.002278
41,6472.48,1.37942,0.67262,0.97424,0.83733,0.56083,0.6454,0.34981,1.37665,0.63382,0.98547,0.00208,0.00208,0.00208
42,6621.23,1.37248,0.66604,0.97048,0.83745,0.56255,0.64489,0.35094,1.37386,0.63261,0.98438,0.001882,0.001882,0.001882
43,6769.43,1.36987,0.66359,0.96818,0.83913,0.5633,0.64655,0.35083,1.37253,0.63151,0.98408,0.001684,0.001684,0.001684
44,6917.5,1.36736,0.66063,0.96641,0.83831,0.56391,0.64683,0.35116,1.37364,0.63114,0.98382,0.001486,0.001486,0.001486
45,7066.19,1.36051,0.65477,0.96591,0.83922,0.56421,0.64755,0.35273,1.37046,0.62908,0.98288,0.001288,0.001288,0.001288
46,7214.71,1.35445,0.6478,0.96466,0.84102,0.56456,0.64814,0.35245,1.37243,0.62902,0.98329,0.00109,0.00109,0.00109
47,7363.87,1.34893,0.64349,0.96431,0.83786,0.56618,0.64818,0.35271,1.37168,0.62805,0.98351,0.000892,0.000892,0.000892
48,7512.96,1.35321,0.64476,0.96051,0.83708,0.56623,0.64835,0.35312,1.37118,0.62709,0.98316,0.000694,0.000694,0.000694
49,7661.04,1.34582,0.63798,0.96261,0.8356,0.5656,0.64781,0.35265,1.37223,0.62733,0.9834,0.000496,0.000496,0.000496
50,7809.82,1.34419,0.63643,0.95979,0.84072,0.5642,0.64822,0.35271,1.37251,0.62675,0.9837,0.000298,0.000298,0.000298
